🇨🇳央视频道,#genre#
CCTV-14少儿,http://183.129.255.66:8480/hls/15/index.m3u8
CCTV-15音乐,http://183.129.255.66:8480/hls/16/index.m3u8
CCTV-16奥林匹克,http://183.129.255.66:8480/hls/17/index.m3u8
CCTV-17农业农村,http://183.129.255.66:8480/hls/18/index.m3u8

重庆电信
CCTV-1综合,http://hook.msen.site:8000/rtp/235.254.198.51:1480
CCTV-2财经,http://hook.msen.site:8000/rtp/235.254.198.52:1484
CCTV-3综艺,http://hook.msen.site:8000/rtp/235.254.198.53:1488
CCTV-4中文国际,http://hook.msen.site:8000/rtp/235.254.198.183:7980
CCTV-5体育,http://hook.msen.site:8000/rtp/235.254.198.54:1492
CCTV-5+体育赛事,http://hook.msen.site:8000/rtp/235.254.198.122:1764
CCTV-6电影,http://hook.msen.site:8000/rtp/235.254.198.55:1496
CCTV-7国防军事,http://hook.msen.site:8000/rtp/235.254.198.56:1500
CCTV-8电视剧,http://hook.msen.site:8000/rtp/235.254.198.57:1504
CCTV-9纪录,http://hook.msen.site:8000/rtp/235.254.198.58:1508
CCTV-10科教,http://hook.msen.site:8000/rtp/235.254.198.59:1512
CCTV-11戏曲,http://hook.msen.site:8000/rtp/235.254.198.7:1304
CCTV-12社会与法,http://hook.msen.site:8000/rtp/235.254.198.60:1516
CCTV-13新闻,http://hook.msen.site:8000/rtp/235.254.198.9:1312
CCTV-14少儿,http://hook.msen.site:8000/rtp/235.254.198.61:1520
CCTV-15音乐,http://hook.msen.site:8000/rtp/235.254.198.11:1320
CCTV-16奥林匹克,http://116.5.123.234:9088/rtp/233.18.204.215:5140
CCTV-17农业农村,http://hook.msen.site:8000/rtp/235.254.198.130:7980

江西电信
CCTV-1综合,http://www.lizhinas.top:10086/rtp/239.252.219.200:5140
CCTV-2财经,http://www.lizhinas.top:10086/rtp/239.252.220.183:5140
CCTV-3综艺,http://www.lizhinas.top:10086/rtp/239.252.219.252:5140
CCTV-4中文国际,http://www.lizhinas.top:10086/rtp/239.252.220.184:5140
CCTV-5体育,http://www.lizhinas.top:10086/rtp/239.252.219.236:5140
CCTV-5+体育赛事,http://www.lizhinas.top:10086/rtp/239.252.219.72:5140
CCTV-6电影,http://www.lizhinas.top:10086/rtp/239.252.219.237:5140
CCTV-7国防军事,http://www.lizhinas.top:10086/rtp/239.252.220.185:5140
CCTV-8电视剧,http://www.lizhinas.top:10086/rtp/239.252.219.253:5140
CCTV-9纪录,http://www.lizhinas.top:10086/rtp/239.252.220.186:5140
CCTV-10科教,http://www.lizhinas.top:10086/rtp/239.252.220.91:5140
CCTV-11戏曲,http://www.lizhinas.top:10086/rtp/239.252.219.78:5140
CCTV-12社会与法,http://www.lizhinas.top:10086/rtp/239.252.220.187:5140
CCTV-13新闻,http://www.lizhinas.top:10086/rtp/239.252.219.139:5140
CCTV-14少儿,http://www.lizhinas.top:10086/rtp/239.252.220.92:5140
CCTV-15音乐,http://www.lizhinas.top:10086/rtp/239.252.219.79:5140
CCTV-16奥林匹克,http://www.lizhinas.top:10086/rtp/239.252.220.237:5140
CCTV-17农业农村,http://www.lizhinas.top:10086/rtp/239.252.220.192:5140

CCTV-1综合,http://zb.hexuntong.net:8188/rtp/239.3.1.129:8008
CCTV-2财经,http://zb.hexuntong.net:8188/rtp/239.3.1.60:8084
CCTV-3综艺,http://zb.hexuntong.net:8188/rtp/239.3.1.172:8001
CCTV-4中文国际,http://zb.hexuntong.net:8188/rtp/239.3.1.105:8092
CCTV-5体育,http://zb.hexuntong.net:8188/rtp/239.3.1.173:8001
CCTV-5+体育赛事,http://zb.hexuntong.net:8188/rtp/239.3.1.130:8004
CCTV-6电影,http://zb.hexuntong.net:8188/rtp/239.3.1.174:8001
CCTV-7国防军事,http://zb.hexuntong.net:8188/rtp/239.3.1.61:8104
CCTV-8电视剧,http://zb.hexuntong.net:8188/rtp/239.3.1.175:8001
CCTV-9纪录,http://zb.hexuntong.net:8188/rtp/239.3.1.62:8112
CCTV-10科教,http://zb.hexuntong.net:8188/rtp/239.3.1.63:8116
CCTV-11戏曲,http://zb.hexuntong.net:8188/rtp/239.3.1.152:8120
CCTV-12社会与法,http://zb.hexuntong.net:8188/rtp/239.3.1.64:8124
CCTV-13新闻,http://zb.hexuntong.net:8188/rtp/239.3.1.124:8128
CCTV-14少儿,http://zb.hexuntong.net:8188/rtp/239.3.1.65:8132
CCTV-15音乐,http://zb.hexuntong.net:8188/rtp/239.3.1.153:8136
CCTV-16奥林匹克,http://zb.hexuntong.net:8188/rtp/239.3.1.184:8001
CCTV-17农业农村,http://zb.hexuntong.net:8188/rtp/239.3.1.151:8144

🇨🇳省市卫视,#genre#
浙江卫视4K,https://play-qukan.cztv.com/live/1758879019692345.m3u8
浙江卫视4K,http://ali-xwl.cztv.com/live/channel4k2160p.m3u8
海南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws
吉林卫视,https://lsfb.avap.jilintv.cn/zqvk7vpj/channel/0533b55e42354f4f802bdec78e26b571/1.m3u8
山西卫视,http://www.lwfz.fun:8800/udp/239.16.10.24:2000
吉林卫视,https://lsfb.avap.jilintv.cn/zqvk7vpj/channel/0533b55e42354f4f802bdec78e26b571/1.m3u8
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
湖南卫视4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8

凤凰中文,http://223.95.198.3:8000/hls/20/index.m3u8
北京卫视,http://223.95.198.3:8000/hls/21/index.m3u8
东方卫视,http://223.95.198.3:8000/hls/22/index.m3u8
深圳卫视,http://223.95.198.3:8000/hls/23/index.m3u8
浙江卫视,http://223.95.198.3:8000/hls/24/index.m3u8
湖南卫视,http://223.95.198.3:8000/hls/25/index.m3u8
天津卫视,http://223.95.198.3:8000/hls/26/index.m3u8
河北卫视,http://223.95.198.3:8000/hls/27/index.m3u8
江苏卫视,http://223.95.198.3:8000/hls/28/index.m3u8
山东卫视,http://223.95.198.3:8000/hls/29/index.m3u8
安徽卫视,http://223.95.198.3:8000/hls/30/index.m3u8
河南卫视,http://223.95.198.3:8000/hls/31/index.m3u8
湖北卫视,http://223.95.198.3:8000/hls/32/index.m3u8
黑龙江卫视,http://223.95.198.3:8000/hls/33/index.m3u8
辽宁卫视,http://223.95.198.3:8000/hls/34/index.m3u8
吉林卫视,http://223.95.198.3:8000/hls/35/index.m3u8
重庆卫视,http://223.95.198.3:8000/hls/36/index.m3u8
四川卫视,http://223.95.198.3:8000/hls/37/index.m3u8
广东卫视,http://223.95.198.3:8000/hls/38/index.m3u8
广西卫视,http://223.95.198.3:8000/hls/39/index.m3u8
江西卫视,http://223.95.198.3:8000/hls/40/index.m3u8
海南卫视,http://223.95.198.3:8000/hls/41/index.m3u8
甘肃卫视,http://223.95.198.3:8000/hls/42/index.m3u8
陕西卫视,http://223.95.198.3:8000/hls/43/index.m3u8
云南卫视,http://223.95.198.3:8000/hls/44/index.m3u8
云南卫视,http://223.95.198.3:8000/hls/45/index.m3u8
贵州卫视,http://223.95.198.3:8000/hls/46/index.m3u8
青海卫视,http://223.95.198.3:8000/hls/47/index.m3u8


重庆卫视,http://hook.msen.site:8000/rtp/235.254.197.237:7980
北京卫视4K,http://hook.msen.site:8000/rtp/235.254.197.50:7980
东方卫视4K,http://hook.msen.site:8000/rtp/235.254.197.190:7980
广东卫视4K,http://hook.msen.site:8000/rtp/235.254.197.55:7980
深圳卫视4K,http://hook.msen.site:8000/rtp/235.254.197.56:7980
湖南卫视4K,http://hook.msen.site:8000/rtp/235.254.197.196:7980
湖南卫视4K,http://hook.msen.site:8000/rtp/235.254.197.52:7980
山东卫视4K,http://hook.msen.site:8000/rtp/235.254.197.195:7980
四川卫视4K,http://hook.msen.site:8000/rtp/235.254.197.197:7980
浙江卫视4K,http://hook.msen.site:8000/rtp/235.254.197.194:7980
江苏卫视4K,http://hook.msen.site:8000/rtp/235.254.197.191:7980
江苏卫视,http://hook.msen.site:8000/rtp/235.254.199.64:7980
浙江卫视,http://hook.msen.site:8000/rtp/235.254.199.63:7980
东方卫视,http://hook.msen.site:8000/rtp/235.254.199.73:7980
深圳卫视,http://hook.msen.site:8000/rtp/235.254.199.71:7980
北京卫视,http://hook.msen.site:8000/rtp/235.254.199.66:7980
山东卫视,http://hook.msen.site:8000/rtp/235.254.199.69:7980
天津卫视,http://hook.msen.site:8000/rtp/235.254.199.67:7980
贵州卫视,http://hook.msen.site:8000/rtp/235.254.198.185:7980
贵州卫视,http://hook.msen.site:8000/rtp/235.254.199.185:7980
四川卫视,http://hook.msen.site:8000/rtp/235.254.198.175:7980
四川卫视,http://hook.msen.site:8000/rtp/235.254.199.175:7980
云南卫视,http://hook.msen.site:8000/rtp/235.254.197.177:7980
黑龙江卫视,http://hook.msen.site:8000/rtp/235.254.197.243:7980
黑龙江卫视,http://hook.msen.site:8000/rtp/235.254.199.70:7980
安徽卫视,http://hook.msen.site:8000/rtp/235.254.199.65:7980
江西卫视,http://hook.msen.site:8000/rtp/235.254.198.190:7980
江西卫视,http://hook.msen.site:8000/rtp/235.254.199.190:7980
湖北卫视,http://hook.msen.site:8000/rtp/235.254.199.72:7980
旅游卫视,http://hook.msen.site:8000/rtp/235.254.198.176:7980
旅游卫视,http://hook.msen.site:8000/rtp/235.254.199.176:7980
东南卫视,http://hook.msen.site:8000/rtp/235.254.198.129:7980
东南卫视,http://hook.msen.site:8000/rtp/235.254.199.129:7980
辽宁卫视,http://hook.msen.site:8000/rtp/235.254.199.68:7980
湖南卫视,http://hook.msen.site:8000/rtp/235.254.199.62:7980
广东卫视,http://hook.msen.site:8000/rtp/235.254.197.186:7980
河南卫视,http://hook.msen.site:8000/rtp/235.254.198.135:7980
河南卫视,http://hook.msen.site:8000/rtp/235.254.199.135:7980
河北卫视,http://hook.msen.site:8000/rtp/235.254.198.184:7980
河北卫视,http://hook.msen.site:8000/rtp/235.254.199.184:7980
宁夏卫视,http://hook.msen.site:8000/rtp/235.254.197.138:7980
甘肃卫视,http://hook.msen.site:8000/rtp/235.254.197.176:7980
新疆卫视,http://hook.msen.site:8000/rtp/235.254.197.178:7980
西藏卫视,http://hook.msen.site:8000/rtp/235.254.197.184:7980
兵团卫视,http://hook.msen.site:8000/rtp/235.254.197.183:7980

江西卫视,http://www.lizhinas.top:10086/rtp/239.252.220.63:5140
湖南卫视,http://www.lizhinas.top:10086/rtp/239.252.219.201:5140
浙江卫视,http://www.lizhinas.top:10086/rtp/239.252.219.210:5140
江苏卫视,http://www.lizhinas.top:10086/rtp/239.252.219.214:5140
东方卫视,http://www.lizhinas.top:10086/rtp/239.252.219.229:5140
北京卫视,http://www.lizhinas.top:10086/rtp/239.252.219.206:5140
广东卫视,http://www.lizhinas.top:10086/rtp/239.252.219.213:5140
深圳卫视,http://www.lizhinas.top:10086/rtp/239.252.219.212:5140
湖北卫视,http://www.lizhinas.top:10086/rtp/239.252.219.208:5140
天津卫视,http://www.lizhinas.top:10086/rtp/239.252.220.61:5140
安徽卫视,http://www.lizhinas.top:10086/rtp/239.252.220.83:5140
辽宁卫视,http://www.lizhinas.top:10086/rtp/239.252.220.62:5140
山东卫视,http://www.lizhinas.top:10086/rtp/239.252.219.228:5140
黑龙江卫视,http://www.lizhinas.top:10086/rtp/239.252.219.211:5140
东南卫视,http://www.lizhinas.top:10086/rtp/239.252.220.82:5140
云南卫视,http://www.lizhinas.top:10086/rtp/239.252.219.185:5140
吉林卫视,http://www.lizhinas.top:10086/rtp/239.252.220.188:5140
西藏卫视,http://www.lizhinas.top:10086/rtp/239.252.219.106:5140
广西卫视,http://www.lizhinas.top:10086/rtp/239.252.219.183:5140
宁夏卫视,http://www.lizhinas.top:10086/rtp/239.252.219.104:5140
河南卫视,http://www.lizhinas.top:10086/rtp/239.252.220.189:5140
重庆卫视,http://www.lizhinas.top:10086/rtp/239.252.220.94:5140
甘肃卫视,http://www.lizhinas.top:10086/rtp/239.252.219.140:5140
海南卫视,http://www.lizhinas.top:10086/rtp/239.252.219.178:5140
四川卫视,http://www.lizhinas.top:10086/rtp/239.252.220.93:5140
山西卫视,http://www.lizhinas.top:10086/rtp/239.252.219.27:5140
贵州卫视,http://www.lizhinas.top:10086/rtp/239.252.220.190:5140
河北卫视,http://www.lizhinas.top:10086/rtp/239.252.220.154:5140
青海卫视,http://www.lizhinas.top:10086/rtp/239.252.219.46:5140
陕西卫视,http://www.lizhinas.top:10086/rtp/239.252.219.105:5140
内蒙古卫视,http://www.lizhinas.top:10086/rtp/239.252.219.48:5140
新疆卫视,http://www.lizhinas.top:10086/rtp/239.252.219.100:5140
兵团卫视,http://www.lizhinas.top:10086/rtp/239.252.219.107:5140
厦门卫视,http://www.lizhinas.top:10086/rtp/239.252.219.75:5140
三沙卫视,http://www.lizhinas.top:10086/rtp/239.252.219.76:5140

北京卫视4K,http://zb.hexuntong.net:8188/rtp/239.3.1.140:8001
北京卫视4K,http://zb.hexuntong.net:8188/rtp/239.3.1.139:8001
东方卫视4K,http://zb.hexuntong.net:8188/rtp/239.3.1.119:3006
广东卫视4K,http://zb.hexuntong.net:8188/rtp/239.3.1.203:2000
深圳卫视4K,http://zb.hexuntong.net:8188/rtp/239.3.1.202:2000
湖南卫视4K,http://zb.hexuntong.net:8188/rtp/239.3.1.112:3002
山东卫视4K,http://zb.hexuntong.net:8188/rtp/239.3.1.144:3005
四川卫视4K,http://zb.hexuntong.net:8188/rtp/239.3.1.131:3001
浙江卫视4K,http://zb.hexuntong.net:8188/rtp/239.3.1.114:3004
江苏卫视4K,http://zb.hexuntong.net:8188/rtp/239.3.1.113:3003
重庆卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.122:8160
江苏卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.135:8028
浙江卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.137:8036
东方卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.136:8032
深圳卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.134:8020
北京卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.241:8000
山东卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.209:8052
天津卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.141:1234
贵州卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.149:8076
四川卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.29:8288
云南卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.26:8108
广西卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.39:8300
黑龙江卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.133:8016
安徽卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.211:8064
山西卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.42:8172
江西卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.123:8164
湖北卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.138:8044
旅游卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.45:8304
陕西卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.41:8140
东南卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.156:8148
厦门卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.143:4120
吉林卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.240:8172
辽宁卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.210:8056
内蒙古卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.43:8176
湖南卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.132:8012
广东卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.142:8048
河南卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.50:8184
河北卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.148:8072
青海卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.44:8184
西藏卫视,http://zb.hexuntong.net:8188/rtp/239.3.1.166:8188


🇨🇳浙江频道,#genre#    
浙江卫视,https://ali-xwl.cztv.com/live/channel011080Pnew.m3u8#http://ali-xwl.cztv.com/live/channel011080Plxw.m3u8
浙江卫视4K,https://ali-xwl.cztv.com/live/channel4k2160p.m3u8
浙江钱江,http://ali-xwl.cztv.com/live/channel021080Plxw.m3u8#https://ali-xwl.cztv.com/live/channel021080Pnew.m3u8
浙江经济生活,http://ali-xwl.cztv.com/live/channel031080Plxw.m3u8#https://ali-xwl.cztv.com/live/channel031080Pnew.m3u8
浙江教科影视,http://ali-xwl.cztv.com/live/channel041080Plxw.m3u8#https://ali-xwl.cztv.com/live/channel041080Pnew.m3u8
浙江民生休闲,http://ali-xwl.cztv.com/live/channel061080Plxw.m3u8#https://ali-xwl.cztv.com/live/channel061080Pnew.m3u8
浙江公共新闻,http://ali-xwl.cztv.com/live/channel071080Plxw.m3u8#https://ali-xwl.cztv.com/live/channel071080Pnew.m3u8
浙江少儿,http://ali-xwl.cztv.com/live/channel081080Plxw.m3u8#https://ali-xwl.cztv.com/live/channel081080Pnew.m3u8
浙江国际,http://ali-xwl.cztv.com/live/channel101080Plxw.m3u8#https://ali-xwl.cztv.com/live/channel101080Pnew.m3u8
浙江之江纪录,http://ali-xwl.cztv.com/live/channel121080Plxw.m3u8#https://ali-xwl.cztv.com/live/channel121080Pnew.m3u8#http://tv.sohu.blog/proxy/zjsdxf.php?code=d8abed4021744ac184cc2fa7b59ee06f

杭州综合,http://l.cztvcloud.com/channels/lantian/sxchannel01/1080p.m3u8
gilbert0571.eu.org:8888  hs.hejd.net:7088  vnc.jc-hqp.cn:9999

浙江卫视,http://id.dnmb.cn/apk.php?id=99
浙江卫视,http://id.dnmb.cn/apk.php?id=100
浙江卫视4K,http://id.dnmb.cn/apk.php?id=101

浙江钱江,http://id.dnmb.cn/apk.php?id=103
浙江钱江,http://id.dnmb.cn/apk.php?id=104
浙江经济生活,http://id.dnmb.cn/apk.php?id=105
浙江经济生活,http://id.dnmb.cn/apk.php?id=106
浙江教科影视,http://id.dnmb.cn/apk.php?id=107
浙江教科影视,http://id.dnmb.cn/apk.php?id=108
浙江民生休闲,http://id.dnmb.cn/apk.php?id=111
浙江民生休闲,http://id.dnmb.cn/apk.php?id=112
浙江公共新闻,http://id.dnmb.cn/apk.php?id=113
浙江公共新闻,http://id.dnmb.cn/apk.php?id=114
浙江少儿,http://id.dnmb.cn/apk.php?id=115
浙江少儿,http://id.dnmb.cn/apk.php?id=116
浙江国际,http://id.dnmb.cn/apk.php?id=117
浙江国际,http://id.dnmb.cn/apk.php?id=118
浙江之江纪录,http://id.dnmb.cn/apk.php?id=121
浙江之江纪录,http://id.dnmb.cn/apk.php?id=122

杭州综合,http://id.dnmb.cn/apk.php?id=130
杭州综合,http://id.dnmb.cn/apk.php?id=131
西湖明珠,http://id.dnmb.cn/apk.php?id=132
杭州生活,http://id.dnmb.cn/apk.php?id=133
杭州影视,http://id.dnmb.cn/apk.php?id=134
杭州青少体育,http://id.dnmb.cn/apk.php?id=135
杭州导视,http://id.dnmb.cn/apk.php?id=136
萧山新闻综合,http://id.dnmb.cn/apk.php?id=213
萧山新闻综合,http://id.dnmb.cn/apk.php?id=214
萧山新闻综合,http://id.dnmb.cn/apk.php?id=215
萧山新闻综合,http://id.dnmb.cn/apk.php?id=216

浙江公共新闻,http://223.95.198.3:8000/hls/50/index.m3u8
浙江民生休闲,http://223.95.198.3:8000/hls/51/index.m3u8
浙江少儿,http://223.95.198.3:8000/hls/52/index.m3u8

浙江钱江,http://hs.hejd.net:7088/rtp/233.50.201.132:5140
浙江经济生活,http://hs.hejd.net:7088/rtp/233.50.201.133:5140
浙江教科影视,http://hs.hejd.net:7088/rtp/233.50.201.134:5140
浙江民生休闲,http://hs.hejd.net:7088/rtp/233.50.201.136:5140
浙江公共新闻,http://hs.hejd.net:7088/rtp/233.50.201.137:5140
浙江少儿,http://hs.hejd.net:7088/rtp/233.50.201.138:5140
浙江之江纪录,http://hs.hejd.net:7088/rtp/233.50.202.25:5140
杭州综合,http://hs.hejd.net:7088/rtp/233.50.201.173:5140
西湖明珠,http://hs.hejd.net:7088/rtp/233.50.201.174:5140
杭州生活,http://hs.hejd.net:7088/rtp/233.50.201.175:5140
杭州影视,http://hs.hejd.net:7088/rtp/233.50.201.176:5140
杭州青少体育,http://hs.hejd.net:7088/rtp/233.50.201.177:5140
杭州导视,http://hs.hejd.net:7088/rtp/233.50.201.182:5140

浙江钱江,http://125.123.124.144:9091/rtp/233.50.201.132:5140
浙江经济生活,http://125.123.124.144:9091/rtp/233.50.201.133:5140
浙江教科影视,http://125.123.124.144:9091/rtp/233.50.201.134:5140
浙江民生休闲,http://125.123.124.144:9091/rtp/233.50.201.136:5140
浙江公共新闻,http://125.123.124.144:9091/rtp/233.50.201.137:5140
浙江少儿,http://125.123.124.144:9091/rtp/233.50.201.138:5140
浙江之江纪录,http://125.123.124.144:9091/rtp/233.50.202.25:5140
杭州综合,http://125.123.124.144:9091/rtp/233.50.201.173:5140
西湖明珠,http://125.123.124.144:9091/rtp/233.50.201.174:5140
杭州生活,http://125.123.124.144:9091/rtp/233.50.201.175:5140
杭州影视,http://125.123.124.144:9091/rtp/233.50.201.176:5140
杭州青少体育,http://125.123.124.144:9091/rtp/233.50.201.177:5140
杭州导视,http://125.123.124.144:9091/rtp/233.50.201.182:5140

浙江钱江,http://www.negative.top:50000/rtp/233.50.201.132:5140
浙江经济生活,http://www.negative.top:50000/rtp/233.50.201.133:5140
浙江教科影视,http://www.negative.top:50000/rtp/233.50.201.134:5140
浙江民生休闲,http://www.negative.top:50000/rtp/233.50.201.136:5140
浙江公共新闻,http://www.negative.top:50000/rtp/233.50.201.137:5140
浙江少儿,http://www.negative.top:50000/rtp/233.50.201.138:5140
浙江之江纪录,http://www.negative.top:50000/rtp/233.50.202.25:5140
杭州综合,http://www.negative.top:50000/rtp/233.50.201.173:5140
西湖明珠,http://www.negative.top:50000/rtp/233.50.201.174:5140
杭州生活,http://www.negative.top:50000/rtp/233.50.201.175:5140
杭州影视,http://www.negative.top:50000/rtp/233.50.201.176:5140
杭州青少体育,http://www.negative.top:50000/rtp/233.50.201.177:5140
杭州导视,http://www.negative.top:50000/rtp/233.50.201.182:5140

浙江钱江,http://www.tangtuanpp.fun:4000/rtp/233.50.201.132:5140
浙江经济生活,http://www.tangtuanpp.fun:4000/rtp/233.50.201.133:5140
浙江教科影视,http://www.tangtuanpp.fun:4000/rtp/233.50.201.134:5140
浙江民生休闲,http://www.tangtuanpp.fun:4000/rtp/233.50.201.136:5140
浙江公共新闻,http://www.tangtuanpp.fun:4000/rtp/233.50.201.137:5140
浙江少儿,http://www.tangtuanpp.fun:4000/rtp/233.50.201.138:5140
浙江之江纪录,http://www.tangtuanpp.fun:4000/rtp/233.50.202.25:5140
杭州综合,http://www.tangtuanpp.fun:4000/rtp/233.50.201.173:5140
西湖明珠,http://www.tangtuanpp.fun:4000/rtp/233.50.201.174:5140
杭州生活,http://www.tangtuanpp.fun:4000/rtp/233.50.201.175:5140
杭州影视,http://www.tangtuanpp.fun:4000/rtp/233.50.201.176:5140
杭州青少体育,http://www.tangtuanpp.fun:4000/rtp/233.50.201.177:5140
杭州导视,http://www.tangtuanpp.fun:4000/rtp/233.50.201.182:5140


萧山新闻综合,https://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8
萧山新闻综合,https://t.freetv.fun/live/xiao-shan-xin-wen-zong-he-2.m3u8
萧山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8?zzhed


🇨🇳体育频道,#genre#
武术世界,https://dxtx.hntv.tv/live/wssj.m3u8?txSecret=c38b4d31ba4c45c6babb5c47132123e3&txTime=7ABB976A&wsSecret=b20cbf319d004228e21774021d27ec00&wsTime=1767333643
武术世界,http://xxwx.yoesun.com/xxw/河南网.php?id=wspd
武术世界,http://hook.msen.site:8000/rtp/235.254.198.107:7980
武术世界,http://hook.msen.site:8000/rtp/235.254.199.107:7980
武术世界,http://www.lizhinas.top:10086/rtp/239.252.220.180:5140
武术世界,http://1.94.31.214/php/hntv.php?id=wspd
武术世界,http://live.dxhmt.cn:9080/live/yshnpre.m3u8

五星体育,http://wsc2007123.myds.me:30100/rtp/233.18.204.58:5140
五星体育,http://youngx.top:4022/rtp/233.18.204.58:5140
广东体育,http://221.229.212.86:14975
北京影视,http://zb.hexuntong.net:8188/rtp/239.3.1.158:8000
北京体育休闲,http://zb.hexuntong.net:8188/rtp/239.3.1.243:8000
睛彩竞技,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011528
睛彩篮球,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011529
睛彩青少,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011525
